designacao,tipo,idatend,dicofre,morada,codigopostal,localidadepostal,horario,telefone,email,site,latitude,longitude,nodeidet,entidadetutelar,nodeident,entidade
DIREÇÃO NACIONAL DA POLÍCIA DE SEGURANÇA PÚBLICA,Comando,885,110663,"Largo da Penha de França, nº 1",1170-298,LISBOA,Sem Horário de Atendimento,218111000 - 965989000,contacto@psp.pt,http://www.psp.pt,38.730098,-9.131337,237,Ministério da Administração Interna,2528,PSP
DIREÇÃO NACIONAL DA PSP - Relações Publicas,Departamento,886,110663,"Largo da Penha de França, nº 1",1170-298,LISBOA,Dias úteis: 9h00-12h30 / 14h00-16h00,218111000 - 218111049 - 965989000,contacto@psp.pt,http://www.psp.pt,38.730098,-9.131337,237,Ministério da Administração Interna,2528,PSP
DIREÇÃO NACIONAL DA PSP - Recursos Humanos,Departamento,887,110663,"Largo da Penha de França, nº 1",1170-298,LISBOA,Dias úteis: 9h00-12h30 / 14h00-16h00,218111000 - 965989000,deprh@psp.pt,http://www.psp.pt,38.730098,-9.131337,237,Ministério da Administração Interna,2528,PSP
DIREÇÃO NACIONAL DA PSP - Departamento de Armas e Explosivos,Departamento,888,110666,"Rua da Artilharia 1, nº 21",1269-003,LISBOA,Dias úteis: 9h00-12h30 / 14h00-16h00,213703900,depaex@psp.pt,http://www.psp.pt,38.723383,-9.154564,237,Ministério da Administração Interna,2528,PSP
INSTITUTO SUPERIOR DE CIÊNCIAS POLICIAIS E SEGURANÇA INTERNA,Estabelecimento de Ensino,889,110602,"Rua 1º de Maio, n.º 3",1349-040,LISBOA,Dias úteis: 9h00-12h30 / 14h00-16h00,213613900,iscpsi@psp.pt,http://www.psp.pt,38.704418,-9.178236,237,Ministério da Administração Interna,2528,PSP
ESCOLA PRATICA DE POLICIA,Estabelecimento de Ensino,890,141921,Largo das Forças Armadas,2350-754,TORRES NOVAS,Dias úteis: 9h00-12h30 / 14h00-16h00,249819660 - 962049941 - 964547555,epp@psp.pt,http://www.psp.pt,39.481094,-8.534408,237,Ministério da Administração Interna,2528,PSP
UNIDADE ESPECIAL DE POLÍCIA,Unidade Especial,891,111126,Quinta das Águas Livres - Belas,2605-197,BELAS,Sem Horário de Atendimento,219802020,uep@psp.pt,http://www.psp.pt,38.783420,-9.246250,237,Ministério da Administração Interna,2528,PSP
GRUPO DE OPERAÇÕES ESPECIAIS,Unidade Especial,892,111126,Quinta das Águas Livres - Belas,2605-197,BELAS,Sem Horário de Atendimento,219802020,goe@psp.pt,http://www.psp.pt,38.783420,-9.246250,237,Ministério da Administração Interna,2528,PSP
CORPO DE INTERVENÇÃO,Unidade Especial,893,110658,"Calçada da Ajuda, Nº 23",1300-006,LISBOA,Sem Horário de Atendimento,213647155 - 219802020,ci@psp.pt,http://www.psp.pt,38.700610,-9.200159,237,Ministério da Administração Interna,2528,PSP
CORPO DE SEGURANÇA PESSOAL,Unidade Especial,894,111126,Quinta das Águas Livres - Belas,2605-197,BELAS,Sem Horário de Atendimento,219802020,csp@psp.pt,http://www.psp.pt,38.783420,-9.246250,237,Ministério da Administração Interna,2528,PSP
