designacao,tipo,idatend,dicofre,morada,codigopostal,localidadepostal,telefone,email,site,latitude,longitude,nodeidet,entidadetutelar,nodeident,entidade
COMANDO TERRITORIAL DE AVEIRO,Quartel GNR,13049,010517,"Rua de Sá, s/n",3804-503,Aveiro,234378220,ct.avr@gnr.pt,www.gnr.pt,40.645,-8.646,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE ÁGUEDA,Quartel GNR,13050,010121,Rua Joaquim Valente Almeida,3750-154,Águeda,234622417,ct.avr.dagd@gnr.pt,www.gnr.pt,40.584,-8.448,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ÁGUEDA,Quartel GNR,13051,010121,Rua Joaquim Valente Almeida,3750-154,Águeda,234622417,ct.avr.dagd.pagd@gnr.pt,www.gnr.pt,40.584,-8.448,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ALBERGARIA-A-VELHA,Quartel GNR,13052,010209,Rua de Santa Cruz,3850-127,Albergaria-a-Velha,234521237,ct.avr.dagd.pabv@gnr.pt,www.gnr.pt,40.696,-8.486,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ARRANCADA DO VOUGA,Quartel GNR,13053,010119,"Rua do Carreiro, n.º 1",3750-841,Valongo do Vouga,234644137,ct.avr.dagd.parv@gnr.pt,www.gnr.pt,40.619,-8.424,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SEVER DO VOUGA,Quartel GNR,13054,011706,Avenida Comandante Augusto Martins Pereira,3740-258,Sever do Vouga,234551225,ct.avr.dagd.psvv@gnr.pt,www.gnr.pt,40.731,-8.366,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE ANADIA,Quartel GNR,13055,010317,Rua Engenheiro Manuel Ferreira Tavares,3780-203,Anadia,231512341,ct.avr.dand@gnr.pt,www.gnr.pt,40.436,-8.440,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ANADIA,Quartel GNR,13056,010317,Rua Engenheiro Manuel Ferreira Tavares,3780-203,Anadia,231512341,ct.avr.dand.pand@gnr.pt,www.gnr.pt,40.436,-8.440,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE BUSTOS,Quartel GNR,13057,011407,Rua Frei Gil - Sobreiro,3770-017,Bustos,234750520,ct.avr.dand.pbst@gnr.pt,www.gnr.pt,40.500,-8.587,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DA MEALHADA,Quartel GNR,13058,011109,Rua Bernardino Felgueiras,3050-354,Mealhada,231202351,ct.avr.dand.pmlh@gnr.pt,www.gnr.pt,40.376,-8.448,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE OLIVEIRA DO BAIRRO,Quartel GNR,13059,011404,"Rua do Foral, 185 (EN235)",3770-218,Oliveira do Bairro,234748318,ct.avr.dand.polv@gnr.pt,www.gnr.pt,40.516,-8.494,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE SANGALHOS,Quartel GNR,13060,010309,Rua do Passal,3780-128,Sangalhos,234740040,ct.avr.dand.psng@gnr.pt,www.gnr.pt,40.494,-8.475,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
DESTACAMENTO TERRITORIAL DE AVEIRO,Quartel GNR,13061,010517,"Rua de Sá, s/n",3804-503,Aveiro,234378220,ct.avr.davr@gnr.pt,www.gnr.pt,40.645,-8.646,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE AVEIRO (OLIVEIRINHA),Quartel GNR,13062,010517,"Rua de Sá, s/n",3804-503,Aveiro,234378220,ct.avr.davr.pavr@gnr.pt,www.gnr.pt,40.645,-8.646,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE CACIA,Quartel GNR,13063,010502,Rua 1º de Dezembro,3800-545,Cacia,234911284,ct.avr.davr.pcac@gnr.pt,www.gnr.pt,40.682,-8.595,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DA GAFANHA DA NAZARE,Quartel GNR,13064,011006,"Rua Luís de Camões, s/n",3830-694,Gafanha da Nazaré,234393070,ct.avr.davr.pgfn@gnr.pt,www.gnr.pt,40.627,-8.714,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
POSTO TERRITORIAL DE ÍLHAVO,Quartel GNR,13065,011008,Avenida Nª Senhora do Pranto,3830-046,Ílhavo,234330010,ct.avr.davr.pilh@gnr.pt,www.gnr.pt,40.597,-8.666,237,Ministério da Administração Interna,2876,Guarda Nacional Republicana
